codneg,iq,tipo,adm,urendrs,urendpercent,urenddatapag,urenddatabase,rendmed12rs,rendmed12percent,ppc,cvp,nnegmed,ifix,ncotistas,patrimonio
ABCP11,Geral,Tijolo: Shoppings,Rio Bravo Investimentos,0.49,0.47000000000000003,2020-03-06,2020-02-28,0.5,0.48000000000000004,85.03,1.23,6092,1.59,21909,1037662546.93
ALMI11,Geral,Tijolo: Escritórios,BTG Pactual,0.37,NA,2017-04-13,2017-03-31,0,NA,1985.1299999999999,0,931,0.26,4241,220701251.41
ALZR11,Geral,Tijolo: Híbrido,BTG Pactual,0.59,0.46,2020-02-21,2020-02-14,0.56,0.43000000000000005,94.66,1.37,17359,0.42000000000000004,39624,270802753.57
ANCR11B,Geral,Tijolo: Shoppings,Geração Futuro Corretora de Valores,33.849999999999994,1.28,2019-11-25,2019-10-31,8.44,0.32,3454.56,0.77,2,0,56,1558394971.56
AQLL11,Investidor Qualificado,Papel: Fundo de Fundos,FOCO DTVM,0,NA,NA,NA,0,NA,1504.7,0,3,0,37,147794657.94
ARFI11B,Investidor Qualificado,Tijolo: Galpões,FOCO DTVM,0,NA,NA,NA,0,NA,1220.99,0,2,0,29,139259333.37
ARRI11,Geral,Papel: CRIs,Oliveira Trust,0.28,0.3,2020-03-06,2020-02-28,0.1,0.11,94.88,1,677,0,1891,37230338.63
ATCR11,Investidor Qualificado,Tijolo: Escritórios,RJI CTVM LTDA,0.09,NA,2020-01-09,2019-12-30,0.03,NA,75.86999999999999,0,0,0,33,70478890.74000001
ATSA11,Geral,Tijolo: Shoppings,Hedge Investments DTVM LTDA,0.25,0.18,2020-03-13,2020-02-28,0.3,0.22,111.44000000000001,1.23,68,0,194,191135103.81
BARI11,Investidor Qualificado,Papel: CRIs,Oliveira Trust,0.71,0.6599999999999999,2020-03-20,2020-02-28,0.69,0.65,99.93,1.07,5621,0.32,4865,223264062.08
BBFI11B,Geral,Tijolo: Escritórios,BTG Pactual,27.16,1.12,2020-03-13,2020-02-28,25.32,1.05,3150.8300000000004,0.77,2221,0.43000000000000005,6636,409607752.71
BBIM11,Investidor Qualificado,Papel: CRIs,BB Gestão de Recursos,0.6799999999999999,NA,2020-03-13,2020-02-28,0.65,NA,72.81,0,0,0,20,75356541.63
BBPO11,Geral,Tijolo: Bancário,Votorantim Asset Management,1.06,0.6599999999999999,2020-03-13,2020-02-28,1.04,0.65,102.17999999999999,1.57,32508,3.3499999999999996,66161,1626618827.01
BBRC11,Geral,Tijolo: Bancário,Votorantim Asset Management,0.92,0.62,2020-03-13,2020-02-28,0.93,0.63,110.43,1.34,2038,0.29000000000000004,7222,175590021.62
BBVJ11,Geral,Tijolo: Escritórios,Votorantim Asset Management,0.32999999999999996,0.61,2019-01-09,2018-12-28,0,0,57.57,0.9400000000000001,1572,0.22,2129,156006766.67
BCFF11,Geral,Papel: Fundo de Fundos,BTG Pactual,0.53,0.54,2020-03-13,2020-03-06,0.55,0.56,91.69,1.07,130246,2.4699999999999998,162562,1885496925.95
BCIA11,Geral,Papel: Fundo de Fundos,Banco Bradesco,1,0.49,2020-03-27,2020-02-28,1.28,0.62,138.76,1.47,7482,0.41000000000000003,5392,234457207.91
BCRI11,Geral,Papel: CRIs,BRL Trust DTVM,1.04,0.91,2020-03-13,2020-02-28,0.8500000000000001,0.75,105.33,1.08,10363,0.63,22329,263336592.54
BICR11,Geral,Papel: CRIs,Inter DTVM,0.33999999999999997,0.3,2020-03-13,2020-02-28,0.23,0.2,100.56,1.12,1386,0,997,50279710.230000004
BMII11,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.23,NA,2019-08-07,2019-07-31,0.09,NA,503.36,0,0,0,12,70469816.13
BMLC11B,Geral,Tijolo: Escritórios,BTG Pactual,0.53,0.5,2020-03-13,2020-03-06,0.43000000000000005,0.41000000000000003,94.06,1.12,611,0.13,1790,93906205.5
BNFS11,Geral,Tijolo: Bancário,Oliveira Trust,0.8600000000000001,0.6699999999999999,2020-03-13,2020-02-28,0.89,0.69,95.58,1.35,1029,0,1761,66908327.53
BPFF11,Geral,Papel: Fundo de Fundos,Geração Futuro Corretora de Valores,0.75,0.63,2020-03-06,2020-02-28,0.77,0.65,102.01,1.1600000000000001,4297,0.7899999999999999,9850,272242397.8
BPML11,Investidor Qualificado,Tijolo: Shoppings,BTG Pactual,0.6,0.5,2020-02-21,2020-02-14,0.07,0.06,101.34,1.1800000000000002,132,0,230,436293999.25
BPRP11,Investidor Qualificado,Tijolo: Galpões,BTG Pactual,0.76,0.77,2020-03-13,2020-03-06,0.43000000000000005,0.44,103.66,0.9500000000000001,1,0,66,139922018.48000002
BRCO11,Geral,Tijolo: Galpões,Oliveira Trust,0.55,0.42000000000000004,2020-03-06,2020-02-28,0.09,0.07,95.91000000000001,1.35,24978,0,9566,1205283984.1
BRCR11,Geral,Tijolo: Escritórios,BTG Pactual,0.56,0.52,2020-03-13,2020-03-06,0.53,0.5,110.11,0.98,108748,3.11,93036,2523633169.73
BREV11,Investidor Qualificado,Tijolo: Escritórios,BR-CAPITAL,0.48000000000000004,0.44,2020-03-13,2020-03-05,0.08,0.07,108.13,1.02,1,0,23,67337723.84
BRHT11B,Investidor Qualificado,Tijolo: Hotéis,BNY Mellon,0.8600000000000001,NA,2014-07-14,2014-06-30,0,NA,85.72,0,0,0,11,157860282.23999998
BTCR11,Geral,Papel: CRIs,BTG Pactual,0.61,0.61,2020-03-13,2020-03-06,0.61,0.61,97.14999999999999,1.03,6820,0.65,6200,467323471.76
BTLG11,Geral,Tijolo: Galpões,BTG Pactual,0.6,0.55,2020-02-21,2020-02-14,0.45,0.41000000000000003,100.77,1.08,7634,0.43000000000000005,19122,341058328.98999995
BVAR11,Geral,Tijolo: Varejo,Rio Bravo Investimentos,6.619999999999999,NA,2020-02-28,2020-02-14,8.450000000000001,NA,1207.36,0,0,0,69,755250402.2800001
BZLI11,Investidor Qualificado,Híbrido (Tijolo/Papel),FOCO DTVM,0,NA,NA,NA,0,NA,11.860000000000001,0,163,0,34,418854137.52
CARE11,Geral,Tijolo: Outros,Planner Corretora de Valores,0,NA,NA,NA,0,NA,1.4,0,7786,0.19,6226,249657925.39000002
CBOP11,Geral,Tijolo: Escritórios,Credit Suisse Hedging-Griffo,0.49,0.55,2020-03-13,2020-02-28,0.5,0.56,85.57,1.05,1479,0.17,4086,121084978.09
CEOC11,Geral,Tijolo: Escritórios,BTG Pactual,0.56,0.6,2020-03-13,2020-03-06,0.56,0.6,98.29,0.9500000000000001,4023,0.21000000000000002,6909,178455907.79
CNES11,Geral,Tijolo: Escritórios,BTG Pactual,0.18,0.21000000000000002,2020-02-27,2020-02-18,0.18,0.21000000000000002,95.78,0.89,1185,0.29000000000000004,3142,282487658.88
CPFF11,Geral,Papel: Fundo de Fundos,Vórtx DTVM LTDA,0.58,0.58,2020-03-13,2020-03-06,0.1,0.1,98.25,1.02,29875,0,10115,235810253.83
CPTS11B,Investidor Qualificado,Papel: CRIs,BTG Pactual,0.65,0.6,2020-02-14,2020-01-31,0.69,0.64,98.07,1.1,23550,0.6,14259,305484992.96999997
CRFF11,Geral,Papel: Fundo de Fundos,Caixa Econômica Federal,0.7,0.6599999999999999,2020-03-11,2020-03-02,0.41000000000000003,0.38,103.42,1.03,880,0,1228,71365626.28
CTXT11,Geral,Tijolo: Outros,Rio Bravo Investimentos,0.38,0.6699999999999999,2020-03-09,2020-02-28,0.37,0.65,53.309999999999995,1.07,1578,0.2,3755,138305434.47
CVBI11,Geral,Papel: CRIs,BRL Trust DTVM,0.73,0.73,2020-03-17,2020-03-10,0.36,0.36,100.16,1,9429,0,3453,353256645.7
CXCE11B,Geral,Tijolo: Escritórios,Caixa Econômica Federal,20.12,0.7799999999999999,2020-03-13,2020-02-28,19.84,0.77,2154.24,1.2,319,0.23,1294,147604215.79
CXRI11,Geral,Papel: Fundo de Fundos,Caixa Econômica Federal,8.5,0.58,2020-03-11,2020-03-02,11.38,0.77,1119.1,1.32,896,0.28,1845,176343450.14
CXTL11,Geral,Tijolo: Galpões,Caixa Econômica Federal,1.08,0.28,2020-03-13,2020-02-28,0.99,0.26,767.87,0.51,67,0,579,41155777.47
DAMT11B,Geral,Tijolo: Shoppings,Banco Modal S.A.,0,NA,NA,NA,0,NA,1.32,0,3,0,51,128602819.13
DMAC11,Investidor Qualificado,Tijolo: Desenvolvimento,Oliveira Trust,3.4499999999999997,0.73,2020-03-16,2020-03-06,5.07,1.07,802.22,0.59,292,0,417,125233548.33
DOMC11,Geral,Tijolo: Escritórios,Monetar DTVM,5.33,NA,2016-05-10,2016-05-02,0,NA,989.9399999999999,0,243,0,1161,241921029.5
DOVL11B,Investidor Qualificado,Tijolo: Escritórios,BNY Mellon,4.84,NA,2020-02-21,2020-02-13,5.319999999999999,NA,1247.04,0,1,0,52,74156566.07
DRIT11B,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.7,0.38,2020-03-13,2020-03-05,0.61,0.32999999999999996,131.32000000000002,1.42,50,0,290,60837063.08
EDFO11B,Geral,Tijolo: Escritórios,Oliveira Trust,1.52,0.56,2020-03-10,2020-02-28,1.6500000000000001,0.61,203.08,1.33,178,0,670,47926286.2
EDGA11,Geral,Tijolo: Escritórios,BTG Pactual,0.19,0.36,2020-02-28,2020-02-19,0.2,0.39,78.66,0.6599999999999999,3949,0.21000000000000002,6915,299846534.55
ELDO11B,Geral,Tijolo: Shoppings,Rio Bravo Investimentos,4.3,NA,2020-03-19,2020-03-11,6.7,NA,1162.52,0,0,0,61,915197494.2900001
ERPA11,Investidor Qualificado,Tijolo: Escritórios,Oliveira Trust,0,NA,NA,NA,0,NA,99.51,0,0,0,3,19746573.09
EURO11,Geral,Tijolo: Galpões,COINVALORES,0.7,0.38,2020-03-17,2020-02-28,1.1400000000000001,0.61,306.38,0.61,575,0.08,1905,117628890.78
FAED11,Geral,Tijolo: Educacional,BTG Pactual,1.58,0.61,2020-03-13,2020-03-06,1.55,0.6,204.99,1.27,3574,0.19,5486,131637576.09
FAMB11B,Geral,Tijolo: Escritórios,BTG Pactual,28.43,1.05,2020-03-12,2020-02-28,29.330000000000002,1.09,3463.67,0.7799999999999999,1121,0.38,3851,362992370.01
FCFL11,Geral,Tijolo: Educacional,BTG Pactual,0.58,0.43000000000000005,2020-02-21,2020-02-14,0.58,0.43000000000000005,106.03,1.28,3888,0.54,3944,354135717.25
FEXC11,Geral,Papel: CRIs,BTG Pactual,0.7,0.63,2020-03-13,2020-03-06,0.73,0.6599999999999999,99.61,1.12,5682,0.29000000000000004,8284,243394017.93
